No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,CAPACIDAD DE USUARIOS PERMITIDOS,UBICACIÓN,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS
66,513,UNE,RISARALDA,PEREIRA,EL OSO,CANCHA ALEJANDRIA-MONETELIBANO,CHANCHA ALEJANDRIA MONTELIBANO,2,1000,(4.793788 -75.729248),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
67,513,UNE,RISARALDA,PEREIRA,EL OSO,CUCHILLA DE LOS CASTRO,CUCHILLA DE LOS CASTRO,2,1000,(4.793777 -75.732239),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
68,513,UNE,RISARALDA,PEREIRA,EL OSO,LA ISLA,PARQUE LA ISLA,2,1000,(4.802001 -75.740060),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
69,513,UNE,RISARALDA,PEREIRA,EL OSO,LOS CRISTALES,PARQUE CIUDADELA LOS CRISTALES,2,1000,(4.803881 -75.735840),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
70,513,UNE,RISARALDA,PEREIRA,EL OSO,PARQUE DEL OSO,PARQUE EL OSO,2,1000,(4.798848 -75.732606),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
71,513,UNE,RISARALDA,PEREIRA,EL POBLADO,POBLADO I,PARQUE POBLADO I (MZ K),2,1000,(4.804312 -75.706722),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
72,513,UNE,RISARALDA,PEREIRA,EL POBLADO,POBLADO II,PARQUE EL POBLADO II,2,1000,(4.802781 -75.708933),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
73,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA I,SAMARIA 1 (AVENIDA PPAL),2,1000,(4.795988 -75.708701),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
74,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA II,SAMARIA 2 (CANCHA CERCA A LA ESCUELA),2,1000,(4.797984 -75.709036),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
75,513,UNE,RISARALDA,PEREIRA,EL POBLADO,SAMARIA III,SAMARIA 3 (PARQUE LA AVIONETA),2,1000,(4.792857 -75.706795),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
76,513,UNE,RISARALDA,PEREIRA,EL ROCIO,ROCIO ALTO,COLEGIO ROCIO ALTO,2,1000,(4.797375 -75.703295),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
77,513,UNE,RISARALDA,PEREIRA,EL ROCIO,CARACOL_LA_CURVA,VARIANTE ARMENIA,1,500,(4.786175 -75.697052),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
78,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,EL PLUMON,PLUMON CASETA,2,1000,(4.813478 -75.729974),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
79,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,NACEDEROS,CANCHA NACEDEROS,2,1000,(4.816157 -75.732171),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
80,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,GILBERTO PELÃEZ Y BARRIO LA LIBERTAD,GILBERTO PELAEZ Y LIBERTAD EN LA GLORIETA,4,2000,(4.817526 -75.739266),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
81,513,UNE,RISARALDA,PEREIRA,FERROCARRIL,MATECAÑA,CANCHA MATECAÑA,2,1000,(4.811499 -75.747058),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
82,513,UNE,RISARALDA,PEREIRA,LA BELLA,EL CHOCHO,EL CHOCHO,2,1000,(4.786750 -75.671760),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
83,513,UNE,RISARALDA,PEREIRA,LA BELLA,LA BELLA,CASERIO LA BELLA,2,1000,(4.762800 -75.635919),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
84,413,UNE,RISARALDA,PEREIRA,LA BELLA,MUNDO NUEVO - ESTACION DE POLICIA,MUNDO NUEVO - ESTACION DE POLICIA,1,500,(4.786709 -75.683355),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
85,3829,UNE,RISARALDA,PEREIRA,LA BELLA,CANCELES,CERRO CANCELES,1,500,(4.801917-75.673417),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
86,789,UNE,RISARALDA,PEREIRA,LA BELLA,EL SALADO,EL SALADO,1,500,(4.783216-75.684772),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
